Game,U,V,Clock
1,Kickoff,Sadjunior,-299
1,Sadjunior,Clear,-297
1,Clear,Skyline,-297
1,Skyline,Steal,-292
1,Steal,Jacob,-292
1,Jacob,Steal,-291
1,Steal,Sikii,-291
1,Sikii,Clear,-289
1,Clear,Sadjunior,-289
1,Sadjunior,Jacob,-288
1,Jacob,Clear,-286
1,Clear,Kaydop,-286
1,Kaydop,Sikii,-283
1,Sikii,Steal,-282
1,Steal,Jacob,-282
1,Jacob,Clear,-278
1,Clear,Sikii,-278
1,Sikii,Steal,-278
1,Steal,Fireburner,-278
1,Fireburner,Clear,-276
1,Clear,Kaydop,-276
1,Kaydop,Steal,-274
1,Steal,Sadjunior,-274
1,Sadjunior,Clear,-271
1,Clear,Skyline,-271
1,Skyline,Steal,-269
1,Steal,Jacob,-269
1,Jacob,Clear,-266
1,Clear,Sikii,-266
1,Sikii,Steal,-263
1,Steal,Fireburner,-263
1,Fireburner,Steal,-261
1,Steal,Sikii,-261
1,Sikii,Steal,-256
1,Steal,Sadjunior,-256
1,Sadjunior,Clear,-255
1,Clear,Kaydop,-255
1,Kaydop,Steal,-252
1,Steal,Jacob,-252
1,Jacob,Clear,-250
1,Clear,Skyline,-250
1,Skyline,Steal,-248
1,Steal,Jacob,-248
1,Jacob,Fireburner,-246
1,Fireburner,Jacob,-246
1,Jacob,Clear,-244
1,Clear,Skyline,-244
1,Skyline,Steal,-243
1,Steal,Jacob,-243
1,Jacob,Steal,-241
1,Steal,Kaydop,-241
1,Kaydop,Skyline,-238
1,Skyline,Steal,-236
1,Steal,Sadjunior,-236
1,Sadjunior,Fireburner,-232
1,Fireburner,Steal,-231
1,Steal,Kaydop,-231
1,Kaydop,Skyline,-230
1,Skyline,Sikii,-227
1,Sikii,Steal,-226
1,Steal,Jacob,-226
1,Jacob,Clear,-224
1,Clear,Kaydop,-224
1,Kaydop,Steal,-221
1,Steal,Sadjunior,-221
1,Sadjunior,Clear,-218
1,Clear,Skyline,-218
1,Skyline,Steal,-217
1,Steal,Fireburner,-217
1,Fireburner,Clear,-212
1,Clear,Sikii,-212
1,Sikii,Skyline,-210
1,Skyline,Clear,-208
1,Clear,Jacob,-208
1,Jacob,Sadjunior,-204
1,Sadjunior,Steal,-201
1,Steal,Skyline,-201
1,Skyline,Yield,-198
1,Inbounds,Jacob,-195
1,Jacob,Steal,-192
1,Steal,Kaydop,-192
1,Kaydop,Clear,-189
1,Clear,Fireburner,-189
1,Fireburner,Sadjunior,-187
1,Sadjunior,Clear,-184
1,Clear,Sikii,-184
1,Sikii,Kaydop,-180
1,Kaydop,Clear,-178
1,Clear,Fireburner,-178
1,Fireburner,Jacob,-172
1,Jacob,Steal,-172
1,Steal,Kaydop,-172
1,Kaydop,Score,-170
1,Kickoff,Skyline,-168
1,Skyline,Kaydop,-163
1,Kaydop,Score,-162
1,Kickoff,Fireburner,-157
1,Fireburner,Clear,-156
1,Clear,Kaydop,-156
1,Kaydop,Sikii,-150
1,Sikii,Skyline,-149
1,Skyline,Score,-148
1,Kickoff,Jacob,-147
1,Jacob,Steal,-142
1,Steal,Sikii,-142
1,Sikii,Clear,-138
1,Clear,Sadjunior,-138
1,Sadjunior,Steal,-136
1,Steal,Kaydop,-136
1,Kaydop,Skyline,-132
1,Skyline,Clear,-129
1,Clear,Jacob,-129
1,Jacob,Clear,-123
1,Clear,Kaydop,-123
1,Kaydop,Clear,-118
1,Clear,Jacob,-118
1,Jacob,Steal,-116
1,Steal,Sikii,-116
1,Sikii,Steal,-115
1,Steal,Sadjunior,-115
1,Sadjunior,Clear,-112
1,Clear,Kaydop,-112
1,Kaydop,Skyline,-103
1,Skyline,Miss,-103
1,Rebound,Fireburner,-101
1,Fireburner,Jacob,-97
1,Jacob,Clear,-96
1,Clear,Sikii,-96
1,Sikii,Steal,-93
1,Steal,Fireburner,-93
1,Fireburner,Clear,-92
1,Clear,Skyline,-92
1,Skyline,Kaydop,-88
1,Kaydop,Steal,-86
1,Steal,Jacob,-86
1,Jacob,Sadjunior,-85
1,Sadjunior,Jacob,-83
1,Jacob,Fireburner,-81
1,Fireburner,Clear,-79
1,Clear,Kaydop,-79
1,Kaydop,Skyline,-74
1,Skyline,Clear,-72
1,Clear,Fireburner,-72
1,Fireburner,Steal,-70
1,Steal,Sikii,-70
1,Sikii,Score,-66
1,Kickoff,Jacob,-63
1,Jacob,Clear,-60
1,Clear,Skyline,-60
1,Skyline,Clear,-56
1,Clear,Sadjunior,-56
1,Sadjunior,Jacob,-54
1,Jacob,Clear,-50
1,Clear,Kaydop,-50
1,Kaydop,Steal,-45
1,Steal,Jacob,-45
1,Jacob,Clear,-43
1,Clear,Kaydop,-43
1,Kaydop,Steal,-40
1,Steal,Jacob,-40
1,Jacob,Fireburner,-38
1,Fireburner,Jacob,-36
1,Jacob,Clear,-34
1,Clear,Sikii,-34
1,Sikii,Steal,-31
1,Steal,Sadjunior,-31
1,Sadjunior,Clear,-27
1,Clear,Kaydop,-27
1,Kaydop,Steal,-25
1,Steal,Jacob,-25
1,Jacob,Steal,-23
1,Steal,Skyline,-23
1,Skyline,Kaydop,-20
1,Kaydop,Steal,-18
1,Steal,Sadjunior,-18
1,Sadjunior,Steal,-14
1,Steal,Kaydop,-14
1,Kaydop,Steal,-13
1,Steal,Fireburner,-13
1,Fireburner,Miss,-7
1,Rebound,Sadjunior,-5
1,Sadjunior,Fireburner,-2
1,Fireburner,Steal,0
1,Steal,Kaydop,0
1,Kaydop,Timeout,0
