Game,U,V,Clock
1,Kickoff,Sadjunior,-297
1,Sadjunior,Steal,-296
1,Steal,Klassux,-296
1,Klassux,Steal,-291
1,Steal,Jacob,-291
1,Jacob,Fireburner,-289
1,Fireburner,Jacob,-287
1,Jacob,Fireburner,-285
1,Fireburner,Clear,-282
1,Clear,Klassux,-282
1,Klassux,Steal,-281
1,Steal,Sadjunior,-281
1,Sadjunior,Save,-278
1,Inbounds,Jacob,-275
1,Jacob,Steal,-272
1,Steal,Klassux,-272
1,Klassux,Save,-270
1,Inbounds,Pluto,-266
1,Pluto,Espeon,-264
1,Espeon,Klassux,-259
1,Klassux,Clear,-257
1,Clear,Fireburner,-257
1,Fireburner,Score,-250
1,Kickoff,Sadjunior,-248
1,Sadjunior,Clear,-246
1,Clear,Pluto,-246
1,Pluto,Steal,-245
1,Steal,Jacob,-245
1,Jacob,Sadjunior,-239
1,Sadjunior,Save,-238
1,Inbounds,Espeon,-235
1,Espeon,Steal,-233
1,Steal,Jacob,-233
1,Jacob,Steal,-231
1,Steal,Pluto,-231
1,Pluto,Clear,-227
1,Clear,Sadjunior,-227
1,Sadjunior,Jacob,-225
1,Jacob,Fireburner,-220
1,Fireburner,Sadjunior,-219
1,Sadjunior,Fireburner,-218
1,Fireburner,Score,-158
1,Kickoff,Sadjunior,-216
1,Sadjunior,Steal,-215
1,Steal,Espeon,-215
1,Espeon,Clear,-210
1,Clear,Fireburner,-210
1,Fireburner,Steal,-207
1,Steal,Pluto,-207
1,Pluto,Espeon,-203
1,Espeon,Pluto,-201
1,Pluto,Steal,-197
1,Steal,Jacob,-197
1,Jacob,Sadjunior,-195
1,Sadjunior,Clear,-194
1,Clear,Pluto,-194
1,Pluto,Steal,-193
1,Steal,Fireburner,-193
1,Fireburner,Clear,-191
1,Clear,Klassux,-191
1,Klassux,Steal,-187
1,Steal,Fireburner,-187
1,Fireburner,Steal,-185
1,Steal,Pluto,-185
1,Pluto,Steal,-183
1,Steal,Jacob,-183
1,Jacob,Clear,-181
1,Clear,Espeon,-181
1,Espeon,Steal,-178
1,Steal,Fireburner,-178
1,Fireburner,Save,-177
1,Rebound,Jacob,-176
1,Jacob,Score,-176
1,Kickoff,Klassux,-173
1,Klassux,Clear,-172
1,Clear,Fireburner,-172
1,Fireburner,Jacob,-169
1,Jacob,Clear,-166
1,Clear,Espeon,-166
1,Espeon,Steal,-164
1,Steal,Fireburner,-164
1,Fireburner,Jacob,-162
1,Jacob,Sadjunior,-160
1,Sadjunior,Jacob,-159
1,Jacob,Clear,-157
1,Clear,Pluto,-157
1,Pluto,Clear,-154
1,Clear,Fireburner,-154
1,Fireburner,Jacob,-151
1,Jacob,Fireburner,-147
1,Fireburner,Save,-146
1,Rebound,Jacob,-143
1,Jacob,Clear,-140
1,Clear,Klassux,-140
1,Klassux,Espeon,-139
1,Espeon,Steal,-137
1,Steal,Jacob,-137
1,Jacob,Clear,-134
1,Clear,Pluto,-134
1,Pluto,Steal,-132
1,Steal,Fireburner,-132
1,Fireburner,Clear,-131
1,Clear,Pluto,-131
1,Pluto,Steal,-129
1,Steal,Fireburner,-129
1,Fireburner,Jacob,-126
1,Jacob,Score,-125
1,Kickoff,Sadjunior,-122
1,Sadjunior,Clear,-120
1,Clear,Espeon,-120
1,Espeon,Steal,-118
1,Steal,Jacob,-118
1,Jacob,Clear,-116
1,Clear,Espeon,-116
1,Espeon,Klassux,-113
1,Klassux,Clear,-110
1,Clear,Fireburner,-110
1,Fireburner,Steal,-107
1,Steal,Pluto,-107
1,Pluto,Clear,-101
1,Clear,Sadjunior,-101
1,Sadjunior,Fireburner,-96
1,Fireburner,Clear,-95
1,Clear,Klassux,-95
1,Klassux,Steal,-92
1,Steal,Jacob,-92
1,Jacob,Sadjunior,-90
1,Sadjunior,Fireburner,-87
1,Fireburner,Score,-86
1,Kickoff,Espeon,-83
1,Espeon,Miss,-82
1,Inbounds,Klassux,-80
1,Klassux,Pluto,-78
1,Pluto,Score,-77
1,Kickoff,Jacob,-73
1,Jacob,Steal,-70
1,Steal,Espeon,-70
1,Espeon,Save,-69
1,Rebound,Jacob,-67
1,Jacob,Steal,-64
1,Steal,Espeon,-64
1,Espeon,Clear,-63
1,Clear,Sadjunior,-63
1,Sadjunior,Steal,-61
1,Steal,Pluto,-61
1,Pluto,Klassux,-61
1,Klassux,Clear,-59
1,Clear,Sadjunior,-59
1,Sadjunior,Jacob,-57
1,Jacob,Score,-56
1,Kickoff,Sadjunior,-53
1,Sadjunior,Save,-51
1,Rebound,Fireburner,-48
1,Fireburner,Clear,-318
