Game,U,V,Clock
1,Kickoff,Moses,-299
1,Moses,Steal,-297
1,Steal,Insolences,-297
1,Insolences,Clear,-295
1,Clear,GarrettG,-295
1,GarrettG,Yield,-292
1,Inbounds,Rizzo,-290
1,Rizzo,Zanejackey,-288
1,Zanejackey,Miss,-288
1,Inbounds,GarrettG,-287
1,GarrettG,Clear,-281
1,Clear,Zanejackey,-281
1,Zanejackey,Steal,-279
1,Steal,Turtle,-279
1,Turtle,Clear,-276
1,Clear,Insolences,-276
1,Insolences,Steal,-275
1,Steal,Moses,-275
1,Moses,GarrettG,-272
1,GarrettG,Moses,-268
1,Moses,Turtle,-265
1,Turtle,Steal,-264
1,Steal,Rizzo,-264
1,Rizzo,Zanejackey,-262
1,Zanejackey,Clear,-259
1,Clear,GarrettG,-259
1,GarrettG,Steal,-256
1,Steal,Zanejackey,-256
1,Zanejackey,Insolences,-254
1,Insolences,Clear,-252
1,Clear,Turtle,-252
1,Turtle,Steal,-248
1,Steal,Insolences,-248
1,Insolences,Zanejackey,-243
1,Zanejackey,Clear,-239
1,Clear,Moses,-239
1,Moses,Steal,-237
1,Steal,Rizzo,-237
1,Rizzo,Zanejackey,-236
1,Zanejackey,Steal,-235
1,Steal,Turtle,-235
1,Turtle,Steal,-231
1,Steal,Insolences,-231
1,Insolences,Zanejackey,-228
1,Zanejackey,Rizzo,-227
1,Rizzo,Steal,-224
1,Steal,Turtle,-224
1,Turtle,Clear,-220
1,Clear,Zanejackey,-220
1,Zanejackey,Rizzo,-217
1,Rizzo,Insolences,-214
1,Insolences,Score,-214
1,Kickoff,Moses,-210
1,Moses,Clear,-207
1,Clear,Zanejackey,-207
1,Zanejackey,Steal,-206
1,Steal,Turtle,-206
1,Turtle,Steal,-203
1,Steal,Rizzo,-203
1,Rizzo,Insolences,-201
1,Insolences,Rizzo,-200
1,Rizzo,Yield,-198
1,Inbounds,Zanejackey,-196
1,Zanejackey,Rizzo,-193
1,Rizzo,Zanejackey,-188
1,Zanejackey,Insolences,-187
1,Insolences,Yield,-186
1,Inbounds,Turtle,-184
1,Turtle,Steal,-182
1,Steal,Insolences,-182
1,Insolences,Rizzo,-180
1,Rizzo,Insolences,-178
1,Insolences,Clear,-175
1,Clear,GarrettG,-175
1,GarrettG,Clear,-171
1,Clear,Zanejackey,-171
1,Zanejackey,Insolences,-165
1,Insolences,Clear,-162
1,Clear,GarrettG,-162
1,GarrettG,Moses,-160
1,Moses,Clear,-158
1,Clear,Rizzo,-158
1,Rizzo,Insolences,-151
1,Insolences,Clear,-148
1,Clear,GarrettG,-148
1,GarrettG,Clear,-139
1,Clear,Zanejackey,-139
1,Zanejackey,Steal,-137
1,Steal,Moses,-137
1,Moses,Steal,-134
1,Steal,Insolences,-134
1,Insolences,Steal,-131
1,Steal,Turtle,-131
1,Turtle,GarrettG,-125
1,GarrettG,Moses,-122
1,Moses,Score,-121
1,Kickoff,GarrettG,-117
1,GarrettG,Clear,-116
1,Clear,Insolences,-116
1,Insolences,Clear,-111
1,Clear,Moses,-111
1,Moses,Steal,-108
1,Steal,Rizzo,-108
1,Rizzo,Clear,-105
1,Clear,GarrettG,-105
1,GarrettG,Steal,-104
1,Steal,Zanejackey,-104
1,Zanejackey,Clear,-102
1,Clear,Turtle,-102
1,Turtle,Steal,-98
1,Steal,Insolences,-98
1,Insolences,Rizzo,-95
1,Rizzo,Clear,-94
1,Clear,Moses,-94
1,Moses,Clear,-87
1,Clear,Insolences,-87
1,Insolences,Steal,-84
1,Steal,GarrettG,-84
1,GarrettG,Clear,-79
1,Clear,Insolences,-79
1,Insolences,Clear,-72
1,Clear,GarrettG,-72
1,GarrettG,Moses,-68
1,Moses,Steal,-65
1,Steal,Zanejackey,-65
1,Zanejackey,Steal,-64
1,Steal,GarrettG,-64
1,GarrettG,Clear,-61
1,Clear,Insolences,-61
1,Insolences,Rizzo,-60
1,Rizzo,Insolences,-57
1,Insolences,Clear,-53
1,Clear,Moses,-53
1,Moses,Steal,-53
1,Steal,Zanejackey,-53
1,Zanejackey,Clear,-52
1,Clear,GarrettG,-52
1,GarrettG,Save,-49
1,Rebound,Rizzo,-46
1,Rizzo,Steal,-43
1,Steal,Moses,-43
1,Moses,GarrettG,-39
1,GarrettG,Clear,-37
1,Clear,Zanejackey,-37
1,Zanejackey,Clear,-33
1,Clear,Turtle,-33
1,Turtle,GarrettG,-32
1,GarrettG,Turtle,-29
1,Turtle,Steal,-28
1,Steal,Insolences,-28
1,Insolences,Clear,-145
1,Clear,GarrettG,-145
1,GarrettG,Steal,-23
1,Steal,Zanejackey,-23
1,Zanejackey,Clear,-22
1,Clear,GarrettG,-22
1,GarrettG,Miss,-15
1,Rebound,Rizzo,-14
1,Rizzo,Steal,-11
1,Steal,Turtle,-11
1,Turtle,GarrettG,-8
1,GarrettG,Clear,-5
1,Clear,Insolences,-5
1,Insolences,Steal,-3
1,Steal,Turtle,-3
1,Turtle,Clear,0
1,Clear,Rizzo,0
1,Rizzo,Timeout,0
1,Kickoff,GarrettG,2
1,GarrettG,Moses,5
1,Moses,Yield,7
1,Inbounds,Rizzo,10
1,Rizzo,Clear,13
1,Clear,GarrettG,13
1,GarrettG,Turtle,16
1,Turtle,Clear,20
1,Clear,Zanejackey,20
1,Zanejackey,Insolences,21
1,Insolences,Rizzo,25
1,Rizzo,Steal,27
1,Steal,Turtle,27
1,Turtle,GarrettG,31
1,GarrettG,Clear,33
1,Clear,Zanejackey,33
1,Zanejackey,Steal,36
1,Steal,Moses,36
1,Moses,Save,38
1,Rebound,Rizzo,40
1,Rizzo,Steal,42
1,Steal,GarrettG,42
1,GarrettG,Clear,44
1,Clear,Insolences,44
1,Insolences,Steal,47
1,Steal,Moses,47
1,Moses,Clear,51
1,Clear,Zanejackey,51
1,Zanejackey,Insolences,54
1,Insolences,Steal,54
1,Steal,GarrettG,54
1,GarrettG,Clear,56
1,Clear,Rizzo,56
1,Rizzo,Insolences,61
1,Insolences,Clear,65
1,Clear,GarrettG,65
1,GarrettG,Steal,66
1,Steal,Zanejackey,66
1,Zanejackey,Clear,70
1,Clear,Turtle,70
1,Turtle,Steal,73
1,Steal,Zanejackey,73
1,Zanejackey,Clear,75
1,Clear,GarrettG,75
1,GarrettG,Steal,78
1,Steal,Rizzo,78
1,Rizzo,Zanejackey,79
1,Zanejackey,Steal,81
1,Steal,Turtle,81
1,Turtle,Clear,85
1,Clear,Rizzo,85
1,Rizzo,Steal,87
1,Steal,Moses,87
1,Moses,Clear,91
1,Clear,Insolences,91
1,Insolences,Steal,93
1,Steal,GarrettG,93
1,GarrettG,Clear,95
1,Clear,Insolences,95
1,Insolences,Zanejackey,98
1,Zanejackey,Clear,100
1,Clear,Turtle,100
1,Turtle,Steal,101
1,Steal,Zanejackey,101
1,Zanejackey,Clear,104
1,Clear,Moses,104
1,Moses,Steal,105
1,Steal,Insolences,105
1,Insolences,Save,108
1,Rebound,GarrettG,109
1,GarrettG,Steal,110
1,Steal,Zanejackey,110
1,Zanejackey,Rizzo,112
1,Rizzo,Clear,115
1,Clear,Moses,115
1,Moses,Yield,117
1,Inbounds,GarrettG,119
1,GarrettG,Steal,120
1,Steal,Zanejackey,120
1,Zanejackey,Clear,123
1,Clear,Moses,123
1,Moses,Steal,125
1,Steal,Insolences,125
1,Insolences,Clear,127
1,Clear,Turtle,127
1,Turtle,Steal,128
1,Steal,Rizzo,128
1,Rizzo,Clear,129
1,Clear,GarrettG,129
1,GarrettG,Turtle,132
1,Turtle,GarrettG,133
1,GarrettG,Steal,136
1,Steal,Zanejackey,136
1,Zanejackey,Clear,138
1,Clear,Turtle,138
1,Turtle,Clear,145
1,Clear,Insolences,145
1,Insolences,Clear,149
1,Clear,Moses,149
1,Moses,GarrettG,149
1,GarrettG,Moses,151
1,Moses,Clear,156
1,Clear,Zanejackey,156
1,Zanejackey,Steal,158
1,Steal,Turtle,158
1,Turtle,Moses,161
1,Moses,Miss,162
1,Inbounds,Zanejackey,164
1,Zanejackey,Rizzo,165
1,Rizzo,Steal,168
1,Steal,Turtle,168
1,Turtle,Steal,170
1,Steal,Rizzo,170
1,Rizzo,Clear,174
1,Clear,Moses,174
1,Moses,Steal,176
1,Steal,Insolences,176
1,Insolences,Clear,181
1,Clear,Turtle,181
1,Turtle,GarrettG,186
1,GarrettG,Steal,192
1,Steal,Insolences,192
1,Insolences,Clear,193
1,Clear,Moses,193
1,Moses,Steal,196
1,Steal,Rizzo,196
1,Rizzo,Clear,198
1,Clear,Turtle,198
1,Turtle,Steal,200
1,Steal,Zanejackey,200
1,Zanejackey,Steal,204
1,Steal,GarrettG,204
1,GarrettG,Clear,206
1,Clear,Zanejackey,206
1,Zanejackey,Steal,208
1,Steal,Turtle,208
1,Turtle,Clear,210
1,Clear,Zanejackey,210
1,Zanejackey,Insolences,212
1,Insolences,Steal,214
1,Steal,GarrettG,214
1,GarrettG,Clear,217
1,Clear,Rizzo,217
1,Rizzo,Steal,219
1,Steal,Turtle,219
1,Turtle,Clear,221
1,Clear,Rizzo,221
1,Rizzo,Zanejackey,226
1,Zanejackey,Rizzo,227
1,Rizzo,Zanejackey,230
1,Zanejackey,Yield,230
1,Inbounds,Insolences,232
1,Insolences,Save,233
1,Rebound,Moses,236
1,Moses,Clear,238
1,Clear,Zanejackey,238
1,Zanejackey,Clear,241
1,Clear,Turtle,241
1,Turtle,Steal,243
1,Steal,Insolences,243
1,Insolences,Clear,245
1,Clear,GarrettG,245
1,GarrettG,Steal,246
1,Steal,Insolences,246
1,Insolences,Clear,248
1,Clear,GarrettG,248
1,GarrettG,Steal,249
1,Steal,Rizzo,249
1,Rizzo,Save,250
1,Inbounds,Moses,252
1,Moses,Steal,254
1,Steal,Zanejackey,254
1,Zanejackey,Rizzo,256
1,Rizzo,Score,256
2,Kickoff,Moses,-298
2,Moses,Turtle,-295
2,Turtle,Clear,-288
2,Clear,Insolences,-288
2,Insolences,Steal,-285
2,Steal,Turtle,-285
2,Turtle,Clear,-284
2,Clear,Zanejackey,-284
2,Zanejackey,Steal,-281
2,Steal,Turtle,-281
2,Turtle,Clear,-278
2,Clear,Rizzo,-278
2,Rizzo,Insolences,-277
2,Insolences,Zanejackey,-275
2,Zanejackey,Insolences,-273
2,Insolences,Zanejackey,-272
2,Zanejackey,Rizzo,-270
2,Rizzo,Miss,-268
2,Inbounds,Moses,-266
2,Moses,Steal,-263
2,Steal,Insolences,-263
2,Insolences,Zanejackey,-261
2,Zanejackey,Clear,-259
2,Clear,GarrettG,-259
2,GarrettG,Steal,-257
2,Steal,Rizzo,-257
2,Rizzo,Steal,-255
2,Steal,Turtle,-255
2,Turtle,Clear,-252
2,Clear,Zanejackey,-252
2,Zanejackey,Steal,-249
2,Steal,GarrettG,-249
2,GarrettG,Clear,-248
2,Clear,Insolences,-248
2,Insolences,Zanejackey,-245
2,Zanejackey,Insolences,-244
2,Insolences,Rizzo,-241
2,Rizzo,Zanejackey,-239
2,Zanejackey,Score,-239
2,Kickoff,Insolences,-237
2,Insolences,Steal,-236
2,Steal,Turtle,-236
2,Turtle,GarrettG,-232
2,GarrettG,Clear,-230
2,Clear,Zanejackey,-230
2,Zanejackey,Insolences,-226
2,Insolences,Clear,-222
2,Clear,Turtle,-222
2,Turtle,Steal,-221
2,Steal,Zanejackey,-221
2,Zanejackey,Steal,-219
2,Steal,Moses,-219
2,Moses,Turtle,-216
2,Turtle,Clear,-214
2,Clear,Insolences,-214
2,Insolences,Zanejackey,-211
2,Zanejackey,Steal,-208
2,Steal,Moses,-208
2,Moses,Clear,-206
2,Clear,Rizzo,-206
2,Rizzo,Steal,-204
2,Steal,GarrettG,-204
2,GarrettG,Turtle,-201
2,Turtle,Clear,-200
2,Clear,Insolences,-200
2,Insolences,Steal,-198
2,Steal,Moses,-198
2,Moses,Clear,-195
2,Clear,Rizzo,-195
2,Rizzo,Steal,-192
2,Steal,GarrettG,-192
2,GarrettG,Clear,-190
2,Clear,Zanejackey,-190
2,Zanejackey,Insolences,-188
2,Insolences,Zanejackey,-185
2,Zanejackey,Clear,-182
2,Clear,Moses,-182
2,Moses,Steal,-179
2,Steal,Insolences,-179
2,Insolences,Steal,-176
2,Steal,GarrettG,-176
2,GarrettG,Clear,-174
2,Clear,Zanejackey,-174
2,Zanejackey,Clear,-171
2,Clear,Turtle,-171
2,Turtle,GarrettG,-169
2,GarrettG,Steal,-166
2,Steal,Insolences,-166
2,Insolences,Clear,-165
2,Clear,Moses,-165
2,Moses,Turtle,-162
2,Turtle,Steal,-159
2,Steal,Rizzo,-159
2,Rizzo,Zanejackey,-153
2,Zanejackey,Clear,-151
2,Clear,Turtle,-151
2,Turtle,Steal,-149
2,Steal,Insolences,-149
2,Insolences,Clear,-146
2,Clear,GarrettG,-146
2,GarrettG,Steal,-145
2,Steal,Insolences,-145
2,Insolences,Zanejackey,-143
2,Zanejackey,Steal,-142
2,Steal,Moses,-142
2,Moses,GarrettG,-138
2,GarrettG,Clear,-136
2,Clear,Zanejackey,-136
2,Zanejackey,Steal,-133
2,Steal,Turtle,-133
2,Turtle,Clear,-131
2,Clear,Insolences,-131
2,Insolences,Steal,-128
2,Steal,Moses,-128
2,Moses,GarrettG,-125
2,GarrettG,Score,-124
2,Kickoff,Insolences,-121
2,Insolences,Rizzo,-119
2,Rizzo,Zanejackey,-114
2,Zanejackey,Clear,-112
2,Clear,Turtle,-112
2,Turtle,Steal,-108
2,Steal,Insolences,-108
2,Insolences,Rizzo,-107
2,Rizzo,Steal,-104
2,Steal,GarrettG,-104
2,GarrettG,Clear,-103
2,Clear,Zanejackey,-103
2,Zanejackey,Steal,-101
2,Steal,Turtle,-101
2,Turtle,Clear,-98
2,Clear,Insolences,-98
2,Insolences,Clear,-96
2,Clear,GarrettG,-96
2,GarrettG,Clear,-91
2,Clear,Insolences,-91
2,Insolences,Steal,-89
2,Steal,Turtle,-89
2,Turtle,Clear,-86
2,Clear,Rizzo,-86
2,Rizzo,Steal,-84
2,Steal,Moses,-84
2,Moses,Clear,-82
2,Clear,Insolences,-82
2,Insolences,Steal,-80
2,Steal,Turtle,-80
2,Turtle,Moses,-79
2,Moses,Clear,-77
2,Clear,Zanejackey,-77
2,Zanejackey,Clear,-73
2,Clear,Moses,-73
2,Moses,Steal,-71
2,Steal,Zanejackey,-71
2,Zanejackey,Rizzo,-68
2,Rizzo,Score,-66
2,Kickoff,Zanejackey,-64
2,Zanejackey,Clear,-62
2,Clear,GarrettG,-62
2,GarrettG,Clear,-60
2,Clear,Rizzo,-60
2,Rizzo,Insolences,-55
2,Insolences,Steal,-55
2,Steal,Turtle,-55
2,Turtle,Clear,-52
2,Clear,Rizzo,-52
2,Rizzo,Steal,-50
2,Steal,GarrettG,-50
2,GarrettG,Clear,-48
2,Clear,Zanejackey,-48
2,Zanejackey,Insolences,-43
2,Insolences,Clear,-40
2,Clear,Turtle,-40
2,Turtle,Miss,-33
2,Rebound,Moses,-32
2,Moses,Save,-32
2,Rebound,GarrettG,-30
2,GarrettG,Moses,-28
2,Moses,GarrettG,-26
2,GarrettG,Clear,-25
2,Clear,Zanejackey,-25
2,Zanejackey,Rizzo,-22
2,Rizzo,Steal,-21
2,Steal,GarrettG,-21
2,GarrettG,Steal,-19
2,Steal,Zanejackey,-19
2,Zanejackey,Clear,-16
2,Clear,Moses,-16
2,Moses,Turtle,-9
2,Turtle,Steal,-8
