Game,U,V,Clock
1,Kickoff,gReazymeister,-297
1,gReazymeister,Clear,-295
1,Clear,Zanejackey,-295
1,Zanejackey,Steal,-293
1,Steal,Markydooda,-293
1,Markydooda,Score,-292
1,Kickoff,Zanejackey,-288
1,Zanejackey,Rizzo,-286
1,Rizzo,Insolences,-285
1,Insolences,Rizzo,-284
1,Rizzo,Clear,-276
1,Clear,Kuxir97,-276
1,Kuxir97,Markydooda,-275
1,Markydooda,gReazymeister,-271
1,gReazymeister,Save,-269
1,Inbounds,Kuxir97,-265
1,Kuxir97,Markydooda,-263
1,Markydooda,Clear,-260
1,Clear,Insolences,-260
1,Insolences,Rizzo,-257
1,Rizzo,Steal,-255
1,Steal,gReazymeister,-255
1,gReazymeister,Steal,-252
1,Steal,Zanejackey,-252
1,Zanejackey,Steal,-249
1,Steal,Markydooda,-249
1,Markydooda,Clear,-246
1,Clear,Insolences,-246
1,Insolences,Rizzo,-242
1,Rizzo,Steal,-241
1,Steal,gReazymeister,-241
1,gReazymeister,Steal,-240
1,Steal,Rizzo,-240
1,Rizzo,Clear,-237
1,Clear,Kuxir97,-237
1,Kuxir97,Steal,-230
1,Steal,Zanejackey,-230
1,Zanejackey,Steal,-228
1,Steal,Markydooda,-228
1,Markydooda,Clear,-225
1,Clear,Zanejackey,-225
1,Zanejackey,Clear,-223
1,Clear,gReazymeister,-223
1,gReazymeister,Miss,-222
1,Rebound,Markydooda,-220
1,Markydooda,Clear,-220
1,Clear,Rizzo,-220
1,Rizzo,Steal,-218
1,Steal,Markydooda,-218
1,Markydooda,Clear,-217
1,Clear,Zanejackey,-217
1,Zanejackey,Insolences,-214
1,Insolences,Clear,-212
1,Clear,gReazymeister,-212
1,gReazymeister,Markydooda,-210
1,Markydooda,Steal,-207
1,Steal,Insolences,-207
1,Insolences,Rizzo,-206
1,Rizzo,Zanejackey,-203
1,Zanejackey,Clear,-200
1,Clear,Markydooda,-200
1,Markydooda,Clear,-198
1,Clear,Insolences,-198
1,Insolences,Rizzo,-193
1,Rizzo,Clear,-191
1,Clear,Kuxir97,-191
1,Kuxir97,Steal,-189
1,Steal,Zanejackey,-189
1,Zanejackey,Steal,-185
1,Steal,Markydooda,-185
1,Markydooda,Kuxir97,-183
