Game,U,V,Clock
1,Kickoff,Klassux,-298
1,Klassux,Clear,-293
1,Clear,Maestro,-293
1,Maestro,Remkoe,-288
1,Remkoe,Maestro,-286
1,Maestro,Miztik,-284
1,Miztik,Clear,-282
1,Clear,Espeon,-282
1,Espeon,Steal,-281
1,Steal,Remkoe,-281
1,Remkoe,Clear,-275
1,Clear,Klassux,-275
1,Klassux,Pluto,-273
1,Pluto,Klassux,-271
1,Klassux,Save,-270
1,Rebound,Pluto,-269
1,Pluto,Espeon,-265
1,Espeon,Clear,-261
1,Clear,Remkoe,-261
1,Remkoe,Steal,-258
1,Steal,Pluto,-258
1,Pluto,Yield,-253
1,Inbounds,Remkoe,-251
1,Remkoe,Maestro,-249
1,Maestro,Clear,-243
1,Clear,Espeon,-243
1,Espeon,Klassux,-241
1,Klassux,Steal,-238
1,Steal,Remkoe,-238
1,Remkoe,Clear,-236
1,Clear,Pluto,-236
1,Pluto,Steal,-234
1,Steal,Maestro,-234
1,Maestro,Clear,-231
1,Clear,Espeon,-231
1,Espeon,Steal,-229
1,Steal,Miztik,-229
1,Miztik,Clear,-228
1,Clear,Klassux,-228
1,Klassux,Espeon,-226
1,Espeon,Clear,-224
1,Clear,Maestro,-224
1,Maestro,Clear,-220
1,Clear,Espeon,-220
1,Espeon,Klassux,-218
1,Klassux,Clear,-216
1,Clear,Remkoe,-216
1,Remkoe,Miztik,-214
1,Miztik,Steal,-212
1,Steal,Pluto,-212
1,Pluto,Clear,-210
1,Clear,Remkoe,-210
1,Remkoe,Miztik,-208
1,Miztik,Yield,-203
1,Inbounds,Espeon,-202
1,Espeon,Steal,-200
1,Steal,Maestro,-200
1,Maestro,Score,-196
1,Kickoff,Espeon,-195
1,Espeon,Klassux,-1881
1,Klassux,Score,-190
1,Kickoff,Remkoe,-188
1,Remkoe,Miztik,-186
1,Miztik,Remkoe,-183
1,Remkoe,Clear,-182
1,Clear,Pluto,-182
1,Pluto,Clear,-175
1,Clear,Miztik,-175
1,Miztik,Maestro,-174
1,Maestro,Miztik,-173
1,Miztik,Remkoe,-170
1,Remkoe,Clear,-169
1,Clear,Espeon,-169
1,Espeon,Steal,-167
1,Steal,Miztik,-167
1,Miztik,Clear,-166
1,Clear,Pluto,-166
1,Pluto,Espeon,-164
1,Espeon,Pluto,-163
1,Pluto,Espeon,-162
1,Espeon,Clear,-158
1,Clear,Remkoe,-158
1,Remkoe,Miztik,-155
1,Miztik,Remkoe,-151
1,Remkoe,Maestro,-150
1,Maestro,Score,-149
1,Kickoff,Klassux,-147
1,Klassux,Steal,-146
1,Steal,Remkoe,-146
1,Remkoe,Maestro,-143
1,Maestro,Save,-143
1,Inbounds,Miztik,-141
1,Miztik,Clear,-136
1,Clear,Espeon,-136
1,Espeon,Steal,-134
1,Steal,Maestro,-134
1,Maestro,Clear,-132
1,Clear,Klassux,-132
1,Klassux,Steal,-126
1,Steal,Miztik,-126
1,Miztik,Clear,-123
1,Clear,Espeon,-123
1,Espeon,Steal,-121
1,Steal,Remkoe,-121
1,Remkoe,Clear,-118
1,Clear,Klassux,-118
1,Klassux,Steal,-115
1,Steal,Remkoe,-115
1,Remkoe,Clear,-114
1,Clear,Pluto,-114
1,Pluto,Espeon,-111
1,Espeon,Klassux,-109
1,Klassux,Save,-106
1,Rebound,Remkoe,-103
1,Remkoe,Clear,-101
1,Clear,Espeon,-101
1,Espeon,Clear,-96
1,Clear,Miztik,-96
1,Miztik,Maestro,-94
1,Maestro,Steal,-91
1,Steal,Klassux,-91
1,Klassux,Espeon,-88
1,Espeon,Clear,-86
1,Clear,Miztik,-86
1,Miztik,Steal,-83
1,Steal,Pluto,-83
1,Pluto,Klassux,-82
1,Klassux,Espeon,-80
1,Espeon,Score,-78
1,Kickoff,Maestro,-75
1,Maestro,Remkoe,-74
1,Remkoe,Miztik,-71
1,Miztik,Clear,-70
1,Clear,Klassux,-70
1,Klassux,Espeon,-66
1,Espeon,Clear,-65
1,Clear,Maestro,-65
1,Maestro,Remkoe,-63
1,Remkoe,Miztik,-60
1,Miztik,Score,-56
1,Kickoff,Espeon,-54
1,Espeon,Clear,-51
1,Clear,Miztik,-51
1,Miztik,Maestro,-49
1,Maestro,Clear,-316
1,Clear,Pluto,-316
1,Pluto,Steal,-44
1,Steal,Remkoe,-44
1,Remkoe,Clear,-43
1,Clear,Klassux,-43
1,Klassux,Pluto,-41
1,Pluto,Klassux,-39
1,Klassux,Clear,-37
1,Clear,Remkoe,-37
1,Remkoe,Miztik,-34
1,Miztik,Clear,-32
1,Clear,Espeon,-32
1,Espeon,Pluto,-29
1,Pluto,Espeon,-25
