Game,U,V,Clock
1,Kickoff,ViolentPanda,-294
1,ViolentPanda,Clear,-288
1,Clear,gReazymeister,-288
1,gReazymeister,Steal,-286
1,Steal,Deevo,-286
1,Deevo,Yield,-282
1,Inbounds,Paschy90,-240
1,Paschy90,Save,-279
1,Inbounds,Deevo,-277
1,Deevo,Clear,-274
1,Clear,Kuxir97,-274
1,Kuxir97,Steal,-268
1,Steal,ViolentPanda,-268
1,ViolentPanda,Paschy90,-265
1,Paschy90,Score,-264
1,Kickoff,Kuxir97,-260
1,Kuxir97,Clear,-256
1,Clear,Deevo,-256
1,Deevo,Steal,-254
1,Steal,Markydooda,-254
1,Markydooda,Save,-253
1,Rebound,Deevo,-251
1,Deevo,Steal,-250
1,Steal,Markydooda,-250
1,Markydooda,Kuxir97,-249
1,Kuxir97,Score,-249
1,Kickoff,gReazymeister,-247
1,gReazymeister,Kuxir97,-245
1,Kuxir97,Score,-242
1,Kickoff,Markydooda,-240
1,Markydooda,Save,-178
1,Inbounds,gReazymeister,-235
1,gReazymeister,Yield,-232
1,Inbounds,Markydooda,-230
1,Markydooda,Clear,-227
1,Clear,ViolentPanda,-227
1,ViolentPanda,Paschy90,-224
1,Paschy90,Save,-222
1,Rebound,Markydooda,-219
1,Markydooda,Clear,-216
1,Clear,ViolentPanda,-216
1,ViolentPanda,Steal,-213
1,Steal,Kuxir97,-213
1,Kuxir97,Markydooda,-210
1,Markydooda,Kuxir97,-209
1,Kuxir97,Save,-208
1,Rebound,Deevo,-205
1,Deevo,Steal,-202
1,Steal,Kuxir97,-202
1,Kuxir97,Markydooda,-200
1,Markydooda,Score,-199
1,Kickoff,Kuxir97,-198
1,Kuxir97,Steal,-195
1,Steal,Deevo,-195
1,Deevo,Clear,-193
1,Clear,gReazymeister,-193
1,gReazymeister,Steal,-191
1,Steal,ViolentPanda,-191
1,ViolentPanda,Clear,-189
1,Clear,Kuxir97,-189
1,Kuxir97,Clear,-186
1,Clear,Deevo,-186
1,Deevo,Steal,-184
1,Steal,Kuxir97,-184
1,Kuxir97,gReazymeister,-183
1,gReazymeister,Score,-182
1,Kickoff,Paschy90,-180
1,Paschy90,Deevo,-179
1,Deevo,Clear,-178
1,Clear,gReazymeister,-178
1,gReazymeister,Markydooda,-174
1,Markydooda,Kuxir97,-172
1,Kuxir97,Clear,-170
1,Clear,ViolentPanda,-170
1,ViolentPanda,Deevo,-168
1,Deevo,Clear,-165
1,Clear,Kuxir97,-165
1,Kuxir97,Clear,-162
1,Clear,ViolentPanda,-162
1,ViolentPanda,Steal,-159
1,Steal,Kuxir97,-159
1,Kuxir97,Clear,-155
1,Clear,ViolentPanda,-155
1,ViolentPanda,Steal,-152
1,Steal,gReazymeister,-152
1,gReazymeister,Clear,-152
1,Clear,Deevo,-152
1,Deevo,Clear,-149
1,Clear,Kuxir97,-149
1,Kuxir97,Markydooda,-146
1,Markydooda,Clear,-145
1,Clear,Paschy90,-145
1,Paschy90,Deevo,-143
1,Deevo,ViolentPanda,-140
1,ViolentPanda,Clear,-138
1,Clear,Kuxir97,-138
1,Kuxir97,Steal,-136
1,Steal,Deevo,-136
1,Deevo,Paschy90,-134
1,Paschy90,Clear,-132
1,Clear,Kuxir97,-132
1,Kuxir97,Steal,-129
1,Steal,ViolentPanda,-129
1,ViolentPanda,Clear,-127
1,Clear,Markydooda,-127
1,Markydooda,Steal,-125
1,Steal,Deevo,-125
1,Deevo,Paschy90,-123
1,Paschy90,Deevo,-120
1,Deevo,ViolentPanda,-116
1,ViolentPanda,Save,-114
1,Rebound,Deevo,-113
1,Deevo,Save,-111
1,Rebound,Paschy90,-109
1,Paschy90,Score,-109
1,Kickoff,gReazymeister,-105
1,gReazymeister,Save,-104
1,Rebound,Kuxir97,-101
1,Kuxir97,Clear,-99
1,Clear,Paschy90,-99
1,Paschy90,Steal,-95
1,Steal,gReazymeister,-95
1,gReazymeister,Clear,-91
1,Clear,Deevo,-91
1,Deevo,Steal,-89
1,Steal,Kuxir97,-89
1,Kuxir97,Clear,-87
1,Clear,Paschy90,-87
1,Paschy90,Steal,-85
1,Steal,gReazymeister,-85
1,gReazymeister,Clear,-83
1,Clear,ViolentPanda,-83
1,ViolentPanda,Steal,-81
1,Steal,Kuxir97,-81
1,Kuxir97,Clear,-80
1,Clear,Deevo,-80
1,Deevo,Steal,-78
1,Steal,Kuxir97,-78
1,Kuxir97,Clear,-77
1,Clear,Paschy90,-77
1,Paschy90,ViolentPanda,-75
1,ViolentPanda,Steal,-72
1,Steal,gReazymeister,-72
1,gReazymeister,Steal,-71
1,Steal,ViolentPanda,-71
1,ViolentPanda,Clear,-64
1,Clear,Markydooda,-64
1,Markydooda,Steal,-62
1,Steal,Paschy90,-62
1,Paschy90,Clear,-59
1,Clear,Kuxir97,-59
1,Kuxir97,Steal,-54
1,Steal,Paschy90,-54
1,Paschy90,Deevo,-52
1,Deevo,Clear,-48
1,Clear,Markydooda,-48
1,Markydooda,gReazymeister,-47
1,gReazymeister,Steal,-45
1,Steal,ViolentPanda,-45
1,ViolentPanda,Steal,-43
1,Steal,Markydooda,-43
1,Markydooda,Steal,-41
1,Steal,Deevo,-41
1,Deevo,Steal,-36
1,Steal,Markydooda,-36
1,Markydooda,Clear,-33
1,Clear,Paschy90,-33
1,Paschy90,Deevo,-31
1,Deevo,ViolentPanda,-29
1,ViolentPanda,Yield,-27
1,Inbounds,Markydooda,-25
1,Markydooda,Kuxir97,-21
1,Kuxir97,gReazymeister,-18
1,gReazymeister,Score,-18
1,Kickoff,gReazymeister,-15
1,gReazymeister,Markydooda,-13
1,Markydooda,gReazymeister,-11
1,gReazymeister,Kuxir97,-8
1,Kuxir97,Clear,-7
1,Clear,ViolentPanda,-7
1,ViolentPanda,Steal,-3
1,Steal,gReazymeister,-3
1,gReazymeister,Markydooda,-2
1,Markydooda,gReazymeister,0
1,gReazymeister,Clear,0
1,Clear,Deevo,0
1,Deevo,Clear,0
1,Clear,Kuxir97,0
1,Kuxir97,Clear,0
1,Clear,Paschy90,0
1,Paschy90,Deevo,0
1,Deevo,ViolentPanda,0
1,ViolentPanda,Timeout,0
2,Kickoff,gReazymeister,-298
2,gReazymeister,Kuxir97,-296
2,Kuxir97,Clear,-294
2,Clear,Paschy90,-294
2,Paschy90,ViolentPanda,-292
2,ViolentPanda,Clear,-289
2,Clear,Kuxir97,-289
2,Kuxir97,Steal,-287
2,Steal,Deevo,-287
2,Deevo,Clear,-285
2,Clear,Kuxir97,-285
2,Kuxir97,Steal,-283
2,Steal,Paschy90,-283
2,Paschy90,Clear,-282
2,Clear,Markydooda,-282
2,Markydooda,Steal,-281
2,Steal,Paschy90,-281
2,Paschy90,Clear,-279
2,Clear,Markydooda,-279
2,Markydooda,Steal,-276
2,Steal,Deevo,-276
2,Deevo,Clear,-273
2,Clear,Kuxir97,-273
2,Kuxir97,Steal,-271
2,Steal,Paschy90,-271
2,Paschy90,Steal,-269
2,Steal,gReazymeister,-269
2,gReazymeister,Clear,-266
2,Clear,ViolentPanda,-266
