Game,U,V,Clock
1,Kickoff,Kaydop,-298
1,Kaydop,Clear,-296
1,Clear,Miztik,-296
1,Miztik,Clear,-291
1,Clear,Sikii,-291
1,Sikii,Steal,-289
1,Steal,Miztik,-289
1,Miztik,Clear,-287
1,Clear,Skyline,-287
1,Skyline,Kaydop,-285
1,Kaydop,Steal,-280
1,Steal,Maestro,-280
1,Maestro,Clear,-279
1,Clear,Sikii,-279
1,Sikii,Skyline,-272
1,Skyline,Clear,-270
1,Clear,Miztik,-270
1,Miztik,Maestro,-265
1,Maestro,Steal,-261
1,Steal,Kaydop,-261
1,Kaydop,Steal,-259
1,Steal,Miztik,-259
1,Miztik,Clear,-253
1,Clear,Kaydop,-253
1,Kaydop,Sikii,-251
1,Sikii,Kaydop,-249
1,Kaydop,Clear,-247
1,Clear,Maestro,-247
1,Maestro,Miztik,-243
1,Miztik,Remkoe,-242
1,Remkoe,Steal,-241
1,Steal,Kaydop,-241
1,Kaydop,Clear,-237
1,Clear,Maestro,-237
1,Maestro,Clear,-235
1,Clear,Skyline,-235
1,Skyline,Steal,-233
1,Steal,Remkoe,-233
1,Remkoe,Steal,-228
1,Steal,Skyline,-228
1,Skyline,Sikii,-226
1,Sikii,Score,-225
1,Kickoff,Maestro,-221
1,Maestro,Steal,-220
1,Steal,Skyline,-220
1,Skyline,Clear,-215
1,Clear,Miztik,-215
1,Miztik,Maestro,-212
1,Maestro,Clear,-209
1,Clear,Kaydop,-209
1,Kaydop,Steal,-206
1,Steal,Remkoe,-206
1,Remkoe,Clear,-203
1,Clear,Skyline,-203
1,Skyline,Steal,-201
1,Steal,Maestro,-201
1,Maestro,Clear,-200
1,Clear,Sikii,-200
1,Sikii,Steal,-198
1,Steal,Miztik,-198
1,Miztik,Clear,-195
1,Clear,Kaydop,-195
1,Kaydop,Steal,-194
1,Steal,Remkoe,-194
1,Remkoe,Clear,-191
1,Clear,Skyline,-191
1,Skyline,Steal,-190
1,Steal,Miztik,-190
1,Miztik,Clear,-188
1,Clear,Kaydop,-188
1,Kaydop,Steal,-186
1,Steal,Maestro,-186
1,Maestro,Clear,-183
1,Clear,Sikii,-183
1,Sikii,Kaydop,-181
1,Kaydop,Skyline,-179
1,Skyline,Kaydop,-176
1,Kaydop,Skyline,-174
1,Skyline,Score,-173
1,Kickoff,Remkoe,-171
1,Remkoe,Clear,-170
1,Clear,Kaydop,-170
1,Kaydop,Skyline,-168
1,Skyline,Steal,-165
1,Steal,Maestro,-165
1,Maestro,Miztik,-161
1,Miztik,Clear,-159
1,Clear,Sikii,-159
1,Sikii,Kaydop,-154
1,Kaydop,Clear,-153
1,Clear,Miztik,-153
1,Miztik,Remkoe,-150
1,Remkoe,Maestro,-146
1,Maestro,Clear,-146
1,Clear,Sikii,-146
1,Sikii,Skyline,-143
1,Skyline,Clear,-142
1,Clear,Miztik,-142
1,Miztik,Steal,-139
1,Steal,Kaydop,-139
1,Kaydop,Clear,-137
1,Clear,Remkoe,-137
1,Remkoe,Steal,-135
1,Steal,Sikii,-135
1,Sikii,Clear,-133
1,Clear,Maestro,-133
1,Maestro,Clear,-128
1,Clear,Kaydop,-128
1,Kaydop,Sikii,-123
1,Sikii,Steal,-121
1,Steal,Miztik,-121
1,Miztik,Clear,-120
1,Clear,Sikii,-120
1,Sikii,Steal,-119
1,Steal,Remkoe,-119
1,Remkoe,Score,-118
1,Kickoff,Sikii,-117
1,Sikii,Clear,-113
1,Clear,Maestro,-113
1,Maestro,Clear,-107
1,Clear,Kaydop,-107
1,Kaydop,Steal,-106
1,Steal,Miztik,-106
1,Miztik,Clear,-103
1,Clear,Skyline,-103
1,Skyline,Steal,-102
1,Steal,Remkoe,-102
1,Remkoe,Clear,-101
1,Clear,Kaydop,-101
1,Kaydop,Steal,-98
1,Steal,Maestro,-98
1,Maestro,Steal,-96
1,Steal,Sikii,-96
1,Sikii,Clear,-93
1,Clear,Remkoe,-93
1,Remkoe,Steal,-88
1,Steal,Skyline,-88
1,Skyline,Clear,-86
1,Clear,Maestro,-86
1,Maestro,Steal,-84
1,Steal,Kaydop,-84
1,Kaydop,Clear,-82
1,Clear,Miztik,-82
1,Miztik,Steal,-79
1,Steal,Skyline,-79
1,Skyline,Steal,-77
1,Steal,Remkoe,-77
1,Remkoe,Miztik,-74
1,Miztik,Clear,-73
1,Clear,Sikii,-73
1,Sikii,Score,-70
1,Kickoff,Miztik,-66
1,Miztik,Steal,-65
1,Steal,Sikii,-65
1,Sikii,Clear,-63
1,Clear,Maestro,-63
1,Maestro,Steal,-60
1,Steal,Skyline,-60
1,Skyline,Clear,-58
1,Clear,Miztik,-58
1,Miztik,Steal,-57
1,Steal,Kaydop,-57
1,Kaydop,Clear,-55
1,Clear,Remkoe,-55
1,Remkoe,Maestro,-50
1,Maestro,Steal,-49
1,Steal,Sikii,-49
