Game,U,V,Clock
1,Kickoff,Moses,-2778
1,Moses,Steal,-295
1,Steal,Deevo,-295
1,Deevo,Paschy90,-292
1,Paschy90,ViolentPanda,-289
1,ViolentPanda,Save,-288
1,Rebound,Deevo,-285
1,Deevo,Save,-284
1,Rebound,ViolentPanda,-280
1,ViolentPanda,Clear,-277
1,Clear,GarrettG,-277
1,GarrettG,Moses,-275
1,Moses,Miss,-273
1,Rebound,Deevo,-273
1,Deevo,Steal,-271
1,Steal,Turtle,-271
1,Turtle,Clear,-270
1,Clear,Paschy90,-270
1,Paschy90,Steal,-265
1,Steal,Moses,-265
1,Moses,Clear,-263
1,Clear,ViolentPanda,-263
1,ViolentPanda,Steal,-261
1,Steal,GarrettG,-261
1,GarrettG,Clear,-259
1,Clear,Deevo,-259
1,Deevo,Yield,-254
1,Inbounds,Turtle,-253
1,Turtle,Moses,-252
1,Moses,Miss,-251
1,Rebound,Deevo,-250
1,Deevo,Paschy90,-248
1,Paschy90,Steal,-246
1,Steal,GarrettG,-246
1,GarrettG,Clear,-245
1,Clear,ViolentPanda,-245
1,ViolentPanda,Steal,-239
1,Steal,Moses,-239
1,Moses,Clear,-235
1,Clear,Paschy90,-235
1,Paschy90,Deevo,-233
1,Deevo,Steal,-230
1,Steal,Turtle,-230
1,Turtle,Steal,-227
1,Steal,Paschy90,-227
1,Paschy90,Save,-225
1,Rebound,Turtle,-222
1,Turtle,Moses,-212
1,Moses,Clear,-210
1,Clear,Paschy90,-210
1,Paschy90,Clear,-207
1,Clear,GarrettG,-207
1,GarrettG,Steal,-205
1,Steal,ViolentPanda,-205
1,ViolentPanda,Steal,-202
1,Steal,Moses,-202
1,Moses,Steal,-200
1,Steal,Deevo,-200
1,Deevo,Clear,-198
1,Clear,GarrettG,-198
1,GarrettG,Steal,-197
1,Steal,Paschy90,-197
1,Paschy90,Clear,-194
1,Clear,Moses,-194
1,Moses,Turtle,-192
1,Turtle,Steal,-191
1,Steal,ViolentPanda,-191
1,ViolentPanda,Clear,-189
1,Clear,GarrettG,-189
1,GarrettG,Steal,-188
1,Steal,Deevo,-188
1,Deevo,Steal,-186
1,Steal,Moses,-186
1,Moses,Steal,-184
1,Steal,Deevo,-184
1,Deevo,Clear,-180
1,Clear,Turtle,-180
1,Turtle,Steal,-178
1,Steal,Paschy90,-178
1,Paschy90,Clear,-176
1,Clear,Moses,-176
1,Moses,Clear,-171
1,Clear,Deevo,-171
1,Deevo,Steal,-169
1,Steal,GarrettG,-169
1,GarrettG,Turtle,-166
1,Turtle,Score,-166
1,Kickoff,GarrettG,-163
1,GarrettG,Miss,-159
1,Inbounds,Paschy90,-159
1,Paschy90,Clear,-152
1,Clear,Moses,-152
1,Moses,Turtle,-150
1,Turtle,Steal,-149
1,Steal,Paschy90,-149
1,Paschy90,Save,-146
1,Rebound,ViolentPanda,-144
1,ViolentPanda,Clear,-141
1,Clear,GarrettG,-141
1,GarrettG,Steal,-139
1,Steal,Paschy90,-139
1,Paschy90,Clear,-134
1,Clear,Moses,-134
1,Moses,Steal,-130
1,Steal,ViolentPanda,-130
1,ViolentPanda,Clear,-129
1,Clear,GarrettG,-129
1,GarrettG,Moses,-122
1,Moses,Score,-122
1,Kickoff,ViolentPanda,-108
1,ViolentPanda,Clear,-117
1,Clear,Turtle,-117
1,Turtle,Steal,-114
1,Steal,Paschy90,-114
1,Paschy90,Clear,-112
1,Clear,GarrettG,-112
1,GarrettG,Steal,-109
1,Steal,ViolentPanda,-109
1,ViolentPanda,Deevo,-107
1,Deevo,Clear,-105
1,Clear,Moses,-105
1,Moses,Clear,-100
1,Clear,Paschy90,-100
1,Paschy90,Steal,-97
1,Steal,Turtle,-97
1,Turtle,Clear,-95
1,Clear,Deevo,-95
1,Deevo,Steal,-93
1,Steal,GarrettG,-93
1,GarrettG,Clear,-91
1,Clear,ViolentPanda,-91
1,ViolentPanda,Steal,-88
1,Steal,Moses,-88
1,Moses,Turtle,-84
1,Turtle,Clear,-82
1,Clear,Deevo,-82
1,Deevo,Steal,-81
1,Steal,Turtle,-81
1,Turtle,GarrettG,-79
1,GarrettG,Clear,-76
1,Clear,Deevo,-76
1,Deevo,Paschy90,-74
1,Paschy90,Miss,-70
1,Rebound,ViolentPanda,-68
1,ViolentPanda,Miss,-67
1,Rebound,GarrettG,-67
1,GarrettG,Steal,-66
1,Steal,Deevo,-66
1,Deevo,Save,-64
1,Rebound,GarrettG,-62
1,GarrettG,Steal,-59
1,Steal,ViolentPanda,-59
1,ViolentPanda,Clear,-57
1,Clear,GarrettG,-57
1,GarrettG,Steal,-53
1,Steal,Paschy90,-53
1,Paschy90,ViolentPanda,-52
1,ViolentPanda,Deevo,-48
1,Deevo,Save,-47
1,Rebound,Turtle,-43
1,Turtle,Clear,-42
1,Clear,ViolentPanda,-42
1,ViolentPanda,Steal,-40
1,Steal,GarrettG,-40
1,GarrettG,Clear,-37
1,Clear,ViolentPanda,-37
1,ViolentPanda,Steal,-35
1,Steal,Turtle,-35
1,Turtle,Steal,-33
1,Steal,Deevo,-33
1,Deevo,Miss,-32
1,Inbounds,Moses,-32
1,Moses,Steal,-28
1,Steal,Deevo,-28
1,Deevo,Paschy90,-24
1,Paschy90,Save,-23
1,Rebound,Deevo,-22
1,Deevo,Clear,-21
1,Clear,GarrettG,-21
1,GarrettG,Steal,-17
1,Steal,ViolentPanda,-17
1,ViolentPanda,Deevo,-14
1,Deevo,Paschy90,-11
1,Paschy90,Clear,-9
1,Clear,Moses,-9
1,Moses,Steal,-8
1,Steal,Deevo,-8
1,Deevo,Score,-7
1,Kickoff,Turtle,-4
1,Turtle,Steal,-2
1,Steal,Deevo,-2
1,Deevo,ViolentPanda,0
1,ViolentPanda,Timeout,0
2,Kickoff,Paschy90,-299
2,Paschy90,Steal,-297
2,Steal,GarrettG,-297
2,GarrettG,Clear,-294
2,Clear,Deevo,-294
2,Deevo,Yield,-292
2,Inbounds,Turtle,-292
2,Turtle,Steal,-291
2,Steal,Paschy90,-291
2,Paschy90,Clear,-287
2,Clear,GarrettG,-287
2,GarrettG,Steal,-285
2,Steal,ViolentPanda,-285
2,ViolentPanda,Clear,-284
2,Clear,Turtle,-284
2,Turtle,Steal,-280
2,Steal,Paschy90,-280
2,Paschy90,Deevo,-278
2,Deevo,ViolentPanda,-275
2,ViolentPanda,Clear,-269
2,Clear,GarrettG,-269
2,GarrettG,Steal,-265
2,Steal,ViolentPanda,-265
2,ViolentPanda,Clear,-263
2,Clear,Turtle,-263
2,Turtle,GarrettG,-259
2,GarrettG,Miss,-258
2,Rebound,Deevo,-257
2,Deevo,Steal,-255
2,Steal,Moses,-255
2,Moses,Clear,-253
2,Clear,Paschy90,-253
2,Paschy90,Steal,-251
2,Steal,Turtle,-251
2,Turtle,GarrettG,-248
2,GarrettG,Turtle,-247
2,Turtle,Clear,-243
2,Clear,Deevo,-243
2,Deevo,Clear,-241
2,Clear,GarrettG,-241
2,GarrettG,Steal,-239
2,Steal,Paschy90,-239
2,Paschy90,Clear,-236
2,Clear,Moses,-236
2,Moses,Steal,-234
2,Steal,Deevo,-234
2,Deevo,Clear,-232
2,Clear,Turtle,-232
2,Turtle,Steal,-230
2,Steal,Deevo,-230
2,Deevo,ViolentPanda,-228
2,ViolentPanda,Paschy90,-225
2,Paschy90,Clear,-221
2,Clear,GarrettG,-221
2,GarrettG,Steal,-220
2,Steal,Deevo,-220
2,Deevo,Clear,-217
2,Clear,GarrettG,-217
2,GarrettG,Steal,-214
2,Steal,Deevo,-214
2,Deevo,Paschy90,-211
2,Paschy90,Miss,-209
2,Inbounds,Turtle,-206
2,Turtle,GarrettG,-205
2,GarrettG,Clear,-200
2,Clear,Paschy90,-200
2,Paschy90,ViolentPanda,-193
2,ViolentPanda,Deevo,-131
2,Deevo,Paschy90,-189
2,Paschy90,Score,-188
2,Kickoff,Deevo,-187
2,Deevo,Clear,-186
2,Clear,Moses,-186
2,Moses,GarrettG,-184
2,GarrettG,Steal,-182
2,Steal,ViolentPanda,-182
2,ViolentPanda,Clear,-179
2,Clear,GarrettG,-179
2,GarrettG,Clear,-176
2,Clear,Deevo,-176
2,Deevo,Steal,-174
2,Steal,Moses,-174
2,Moses,Clear,-173
2,Clear,ViolentPanda,-173
2,ViolentPanda,Deevo,-170
2,Deevo,Clear,-168
2,Clear,GarrettG,-168
2,GarrettG,Turtle,-166
2,Turtle,Clear,-162
2,Clear,ViolentPanda,-162
2,ViolentPanda,Steal,-161
2,Steal,Moses,-161
2,Moses,Clear,-159
2,Clear,Deevo,-159
2,Deevo,Steal,-156
2,Steal,Moses,-156
2,Moses,GarrettG,-154
2,GarrettG,Clear,-148
2,Clear,ViolentPanda,-148
2,ViolentPanda,Deevo,-141
2,Deevo,Clear,-140
2,Clear,Turtle,-140
2,Turtle,Steal,-138
2,Steal,Paschy90,-138
2,Paschy90,Steal,-131
2,Steal,GarrettG,-131
2,GarrettG,Steal,-130
2,Steal,ViolentPanda,-130
2,ViolentPanda,Steal,-128
2,Steal,Turtle,-128
2,Turtle,Clear,-124
2,Clear,Deevo,-124
2,Deevo,Steal,-121
2,Steal,GarrettG,-121
2,GarrettG,Save,-120
2,Inbounds,Paschy90,-115
2,Paschy90,Steal,-114
